"STATION","NAME","DATE","TMAX","TMIN"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-28","85","57"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-29","84","57"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-30","81","65"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-31","86","65"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-01","84","60"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-02","82","59"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-03","66","61"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-04","83","58"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-05","79","58"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-06","80","59"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-07","80","57"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-08","81","55"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-09","81","56"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-10","83","58"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-11","85","60"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-12","81","61"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-13","82","54"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-14","71","48"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-15","73","50"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-16","83","52"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-17","83","48"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-18","80","48"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-19","81","49"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-20","83","54"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-21","79","58"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-22","65","58"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-23","80","59"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-24","73","64"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-25","79","64"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-26","83","66"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-27",,
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-28",,
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-29","86","62"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-30","82","59"
"USC00365817","MILLVILLE 2 SW, PA US","1961-08-31","83","60"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-01","87","61"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-02","87","61"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-03","86","66"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-04","79","65"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-05","87","66"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-06","87","62"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-07","89","61"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-08","79","66"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-09","83","64"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-10","83","64"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-11","84","61"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-12","85","62"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-13","87","63"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-14","88","64"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-15","84","55"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-16","66","43"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-17","68","39"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-18","69","36"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-19","71","36"
"USC00365817","MILLVILLE 2 SW, PA US","1961-09-20","70","53"
